,name,id,frequency,er,tanl,quarter,res,height,root_width,width,output_padding,port_1_padding,fe
0,4350B,5,1.0,2.16,0.0027,55.237594637061,100.0,0.254,0.471751743839286,0.7778163870605752,5.052104089038839,5.052104089038839,0.0203982884317608
1,4350B,5,1.0,2.16,0.0033666666666666,54.9673656247445,100.0,0.254,0.468703639388631,0.7778163870605752,5.052104089038839,5.052104089038839,0.020398285853648456
2,4350B,5,1.0,2.16,0.0040333333333333,55.1406961984086,100.0,0.254,0.465949313931376,0.7778163870605752,5.052104089038839,5.052104089038839,0.020398282708921103
3,4350B,5,1.0,2.16,0.0047,55.2371720088007,100.0,0.254,0.467559346717076,0.7778163870605752,5.052104089038839,5.052104089038839,0.020398278997580573
4,4350B,5,1.0,2.6933333333333334,0.0027,50.6150809161144,100.0,0.254,0.397561261781748,0.6731567037107284,4.514136386969859,4.514136386969859,0.018267350045608977
5,4350B,5,1.0,2.6933333333333334,0.0033666666666666,50.2671467147667,100.0,0.254,0.397486366092155,0.6731567037107284,4.514136386969859,4.514136386969859,0.018267347736823078
6,4350B,5,1.0,2.6933333333333334,0.0040333333333333,50.2811948263766,100.0,0.254,0.397384807618596,0.6731567037107284,4.514136386969859,4.514136386969859,0.01826734492061447
7,4350B,5,1.0,2.6933333333333334,0.0047,50.081507347803,100.0,0.254,0.397307510781266,0.6731567037107284,4.514136386969859,4.514136386969859,0.018267341596984805
8,4350B,5,1.0,3.2266666666666666,0.0027,47.29706046791,100.0,0.254,0.347519525679153,0.5948348217777082,4.1157598708318215,4.1157598708318215,0.0166895087168952
9,4350B,5,1.0,3.2266666666666666,0.0033666666666666,46.8050146181518,100.0,0.254,0.346044283945828,0.5948348217777082,4.1157598708318215,4.1157598708318215,0.016689506607530557
10,4350B,5,1.0,3.2266666666666666,0.0040333333333333,47.3435571441147,100.0,0.254,0.346953618968411,0.5948348217777082,4.1157598708318215,4.1157598708318215,0.01668950403457181
11,4350B,5,1.0,3.2266666666666666,0.0047,46.5553978858736,100.0,0.254,0.345748219337809,0.5948348217777082,4.1157598708318215,4.1157598708318215,0.016689500998020468
12,4350B,5,1.0,3.76,0.0027,43.4436581221505,100.0,0.254,0.305267869131909,0.5332781194404852,3.805457789088861,3.805457789088861,0.01546061201034868
13,4350B,5,1.0,3.76,0.0033666666666666,43.8669524187052,100.0,0.254,0.305230011996262,0.5332781194404852,3.805457789088861,3.805457789088861,0.015460610056302641
14,4350B,5,1.0,3.76,0.0040333333333333,44.3152477590708,100.0,0.254,0.307100737686412,0.5332781194404852,3.805457789088861,3.805457789088861,0.015460607672798277
15,4350B,5,1.0,3.76,0.0047,43.0759369254321,100.0,0.254,0.306574804014002,0.5332781194404852,3.805457789088861,3.805457789088861,0.015460604859836975
16,4350B,5,2.0,2.16,0.0027,27.3563940504756,100.0,0.254,0.464157650459018,0.7778163870605752,2.502317454195934,2.502317454195934,0.0101991442158804
17,4350B,5,2.0,2.16,0.0033666666666666,27.4787797226839,100.0,0.254,0.465639347260556,0.7778163870605752,2.502317454195934,2.502317454195934,0.010199142926824228
18,4350B,5,2.0,2.16,0.0040333333333333,27.6093899222438,100.0,0.254,0.467114433238299,0.7778163870605752,2.502317454195934,2.502317454195934,0.010199141354460551
19,4350B,5,2.0,2.16,0.0047,27.7400626677961,100.0,0.254,0.463864011825773,0.7778163870605752,2.502317454195934,2.502317454195934,0.010199139498790286
20,4350B,5,2.0,2.6933333333333334,0.0027,24.8457102416638,100.0,0.254,0.397929527556363,0.6731567037107284,2.230717111077697,2.230717111077697,0.009133675022804488
21,4350B,5,2.0,2.6933333333333334,0.0033666666666666,24.9477217440019,100.0,0.254,0.394669346165137,0.6731567037107284,2.230717111077697,2.230717111077697,0.009133673868411539
22,4350B,5,2.0,2.6933333333333334,0.0040333333333333,25.0570558349911,100.0,0.254,0.395644218949114,0.6731567037107284,2.230717111077697,2.230717111077697,0.009133672460307236
23,4350B,5,2.0,2.6933333333333334,0.0047,25.1591313652417,100.0,0.254,0.39655075462758,0.6731567037107284,2.230717111077697,2.230717111077697,0.009133670798492402
24,4350B,5,2.0,3.2266666666666666,0.0027,22.9833988821441,100.0,0.254,0.343613680430889,0.5948348217777082,2.029570805960353,2.029570805960353,0.0083447543584476
25,4350B,5,2.0,3.2266666666666666,0.0033666666666666,23.0696774628425,100.0,0.254,0.344335934127522,0.5948348217777082,2.029570805960353,2.029570805960353,0.008344753303765278
26,4350B,5,2.0,3.2266666666666666,0.0040333333333333,23.1559719060603,100.0,0.254,0.34505540434434,0.5948348217777082,2.029570805960353,2.029570805960353,0.008344752017285906
27,4350B,5,2.0,3.2266666666666666,0.0047,23.2422799628031,100.0,0.254,0.34577197389057,0.5948348217777082,2.029570805960353,2.029570805960353,0.008344750499010234
28,4350B,5,2.0,3.76,0.0027,21.5275499909494,100.0,0.254,0.308035282491805,0.5332781194404852,1.8728808475304424,1.8728808475304424,0.00773030600517434
29,4350B,5,2.0,3.76,0.0033666666666666,21.6072136617922,100.0,0.254,0.304582374322451,0.5332781194404852,1.8728808475304424,1.8728808475304424,0.0077303050281513205
30,4350B,5,2.0,3.76,0.0040333333333333,21.6868836673079,100.0,0.254,0.30515513059046,0.5332781194404852,1.8728808475304424,1.8728808475304424,0.007730303836399138
31,4350B,5,2.0,3.76,0.0047,21.7604290376944,100.0,0.254,0.305772783467799,0.5332781194404852,1.8728808475304424,1.8728808475304424,0.007730302429918488
32,4350B,5,3.0,2.16,0.0027,17.8894038123592,100.0,0.254,0.462484554443704,0.7778163870605752,1.6523885759149652,1.6523885759149652,0.0067994294772536
33,4350B,5,3.0,2.16,0.0033666666666666,17.9243774474074,100.0,0.254,0.463089949841533,0.7778163870605752,1.6523885759149652,1.6523885759149652,0.006799428617882819
34,4350B,5,3.0,2.16,0.0040333333333333,17.9620512177928,100.0,0.254,0.463740860093224,0.7778163870605752,1.6523885759149652,1.6523885759149652,0.006799427569640368
35,4350B,5,3.0,2.16,0.0047,17.9970429135523,100.0,0.254,0.464344260270647,0.7778163870605752,1.6523885759149652,1.6523885759149652,0.006799426332526857
36,4350B,5,3.0,2.6933333333333334,0.0027,16.775549524673,100.0,0.254,0.397056996970603,0.6731567037107284,1.469577352446977,1.469577352446977,0.006089116681869658
37,4350B,5,3.0,2.6933333333333334,0.0033666666666666,16.7178699502454,100.0,0.254,0.39643703289142,0.6731567037107284,1.469577352446977,1.469577352446977,0.006089115912274359
38,4350B,5,3.0,2.6933333333333334,0.0040333333333333,16.6601998624454,100.0,0.254,0.395815477591369,0.6731567037107284,1.469577352446977,1.469577352446977,0.006089114973538157
39,4350B,5,3.0,2.6933333333333334,0.0047,16.6073450428074,100.0,0.254,0.395192386280586,0.6731567037107284,1.469577352446977,1.469577352446977,0.006089113865661602
40,4350B,5,3.0,3.2266666666666666,0.0027,15.0248522100998,100.0,0.254,0.34582947089597,0.5948348217777082,1.3341744510031974,1.3341744510031974,0.0055631695722984
41,4350B,5,3.0,3.2266666666666666,0.0033666666666666,14.9768873589289,100.0,0.254,0.345223536838094,0.5948348217777082,1.3341744510031974,1.3341744510031974,0.005563168869176852
42,4350B,5,3.0,3.2266666666666666,0.0040333333333333,14.9245746213157,100.0,0.254,0.344560129347805,0.5948348217777082,1.3341744510031974,1.3341744510031974,0.0055631680115239375
43,4350B,5,3.0,3.2266666666666666,0.0047,14.8722761135378,100.0,0.254,0.343949892731261,0.5948348217777082,1.3341744510031974,1.3341744510031974,0.005563166999340156
44,4350B,5,3.0,3.76,0.0027,14.3411528201177,100.0,0.254,0.304756848687176,0.5332781194404852,1.2286885336776368,1.2286885336776368,0.005153537336782893
45,4350B,5,3.0,3.76,0.0033666666666666,14.2687775471504,100.0,0.254,0.30412481658277,0.5332781194404852,1.2286885336776368,1.2286885336776368,0.005153536685434214
46,4350B,5,3.0,3.76,0.0040333333333333,14.2024363521763,100.0,0.254,0.303432066524927,0.5332781194404852,1.2286885336776368,1.2286885336776368,0.005153535890932759
47,4350B,5,3.0,3.76,0.0047,14.1361007101706,100.0,0.254,0.302794171724767,0.5332781194404852,1.2286885336776368,1.2286885336776368,0.005153534953278992
